DateTime,PPM25,PPM10,MEAN25,MEAN10
2018-02-19 18:30:00,10.0,11.0,,
2018-02-19 18:45:00,9.0,10.0,,
2018-02-19 19:00:00,8.0,9.0,,
2018-02-19 19:15:00,8.0,9.0,,
2018-02-19 19:30:00,9.0,15.0,,
2018-02-19 19:45:00,9.0,13.0,,
2018-02-19 20:00:00,10.0,14.0,,
2018-02-19 20:15:00,10.0,14.0,,
2018-02-19 20:30:00,10.0,17.0,,
2018-02-19 20:45:00,10.0,18.0,,
2018-02-19 21:00:00,10.0,15.0,,
2018-02-19 21:15:00,10.0,14.0,,
2018-02-19 21:30:00,12.0,18.0,,
2018-02-19 21:45:00,13.0,17.0,,
2018-02-19 22:00:00,12.0,15.0,,
2018-02-19 22:15:00,11.0,14.0,,
2018-02-19 22:30:00,11.0,13.0,,
2018-02-19 22:45:00,10.0,12.0,,
2018-02-19 23:00:00,10.0,12.0,,
2018-02-19 23:15:00,10.0,11.0,,
2018-02-19 23:30:00,10.0,11.0,,
2018-02-19 23:45:00,10.0,11.0,,
2018-02-20 00:00:00,10.0,11.0,,
2018-02-20 00:15:00,9.0,11.0,,
2018-02-20 00:30:00,9.0,10.0,,
2018-02-20 00:45:00,9.0,10.0,,
2018-02-20 01:00:00,9.0,10.0,,
2018-02-20 01:15:00,9.0,10.0,,
2018-02-20 01:30:00,9.0,10.0,,
2018-02-20 01:45:00,9.0,10.0,,
2018-02-20 02:00:00,9.0,10.0,,
2018-02-20 02:15:00,9.0,10.0,,
2018-02-20 02:30:00,9.0,10.0,,
2018-02-20 02:45:00,9.0,10.0,,
2018-02-20 03:00:00,9.0,10.0,,
2018-02-20 03:15:00,9.0,10.0,,
2018-02-20 03:30:00,9.0,10.0,,
2018-02-20 03:45:00,9.0,10.0,,
2018-02-20 04:00:00,9.0,9.0,,
2018-02-20 04:15:00,9.0,10.0,,
2018-02-20 04:30:00,9.0,10.0,,
2018-02-20 04:45:00,9.0,9.0,,
2018-02-20 05:00:00,8.0,9.0,,
2018-02-20 05:15:00,8.0,9.0,,
2018-02-20 05:30:00,8.0,9.0,,
2018-02-20 05:45:00,8.0,9.0,,
2018-02-20 06:00:00,8.0,9.0,,
2018-02-20 06:15:00,13.0,16.0,,
2018-02-20 06:30:00,12.0,14.0,,
2018-02-20 06:45:00,10.0,12.0,,
2018-02-20 07:00:00,10.0,12.0,,
2018-02-20 07:15:00,9.0,11.0,,
2018-02-20 07:30:00,9.0,10.0,,
2018-02-20 07:45:00,9.0,10.0,,
2018-02-20 08:00:00,8.0,9.0,,
2018-02-20 08:15:00,9.0,9.0,,
2018-02-20 08:30:00,8.0,9.0,,
2018-02-20 08:45:00,8.0,9.0,,
2018-02-20 09:00:00,8.0,9.0,,
2018-02-20 09:15:00,8.0,9.0,,
2018-02-20 09:30:00,9.0,10.0,,
2018-02-20 09:45:00,12.0,13.0,,
2018-02-20 10:00:00,11.0,12.0,,
2018-02-20 10:15:00,9.0,10.0,,
